lon,lat,age (Ma),label,source
-165.98555,54.13308,0.0,negative,Diaz-Rodriguez et al. 2021
-166.93202,53.88707,0.0,negative,Diaz-Rodriguez et al. 2021
-168.0344,53.9272,0.0,negative,Diaz-Rodriguez et al. 2021
-168.132,53.419,0.0,negative,Diaz-Rodriguez et al. 2021
-168.5382,53.1536,0.0,negative,Diaz-Rodriguez et al. 2021
-168.6937,53.1256,0.0,negative,Diaz-Rodriguez et al. 2021
-169.71737,52.97347,0.0,negative,Diaz-Rodriguez et al. 2021
-169.758,52.839,0.0,negative,Diaz-Rodriguez et al. 2021
-169.945,52.8222,0.0,negative,Diaz-Rodriguez et al. 2021
-170.0576,52.8906,0.0,negative,Diaz-Rodriguez et al. 2021
-170.113,52.741,0.0,negative,Diaz-Rodriguez et al. 2021
-170.65152,52.64378,0.0,negative,Diaz-Rodriguez et al. 2021
-171.25476,52.49419,0.0,negative,Diaz-Rodriguez et al. 2021
-172.51,52.316,0.0,negative,Diaz-Rodriguez et al. 2021
-174.139,52.3309,0.0,negative,Diaz-Rodriguez et al. 2021
-174.1548,52.37934,0.0,negative,Diaz-Rodriguez et al. 2021
-99.6628,19.1853,0.0,negative,Diaz-Rodriguez et al. 2021
-99.7558,19.1195,0.0,negative,Diaz-Rodriguez et al. 2021
-99.7562,19.1062,0.0,negative,Diaz-Rodriguez et al. 2021
-99.765,19.1158,0.0,negative,Diaz-Rodriguez et al. 2021
-99.7748,18.8548,0.0,negative,Diaz-Rodriguez et al. 2021
-99.7902,19.2227,0.0,negative,Diaz-Rodriguez et al. 2021
-99.7998,19.138,0.0,negative,Diaz-Rodriguez et al. 2021
-99.8015,19.1432,0.0,negative,Diaz-Rodriguez et al. 2021
-103.855,20.853,0.0,negative,Diaz-Rodriguez et al. 2021
-103.855,20.853,3.0,negative,Diaz-Rodriguez et al. 2021
-103.855,20.853,5.0,negative,Diaz-Rodriguez et al. 2021
-120.549,50.77,0.0,negative,Diaz-Rodriguez et al. 2021
-120.64,49.562,0.0,negative,Diaz-Rodriguez et al. 2021
-128.374,52.264,3.0,negative,Diaz-Rodriguez et al. 2021
-128.437,52.296,3.0,negative,Diaz-Rodriguez et al. 2021
-131.28,56.77,3.0,negative,Diaz-Rodriguez et al. 2021
-66.28,-27.37,6.0,positive,Diaz-Rodriguez et al. 2021
-69.37,-31.3,267.0,positive,Diaz-Rodriguez et al. 2021
-69.75,-30.5,12.0,positive,Diaz-Rodriguez et al. 2021
-66.65,-27.27,9.0,positive,Diaz-Rodriguez et al. 2021
-66.61,-27.33,8.0,positive,Diaz-Rodriguez et al. 2021
-66.55,-27.4,7.0,positive,Diaz-Rodriguez et al. 2021
-66.57,-27.28,8.0,positive,Diaz-Rodriguez et al. 2021
-67.9,-26.3,14.0,positive,Diaz-Rodriguez et al. 2021
-70.58,-38.25,85.0,positive,Diaz-Rodriguez et al. 2021
-69.17,-30.0,261.0,positive,Diaz-Rodriguez et al. 2021
-70.05,-31.95,13.0,positive,Diaz-Rodriguez et al. 2021
-66.6,-24.13,13.0,positive,Diaz-Rodriguez et al. 2021
-70.45,-31.76,10.0,positive,Diaz-Rodriguez et al. 2021
-66.22,-27.38,6.0,positive,Diaz-Rodriguez et al. 2021
-66.76,-25.14,15.0,positive,Diaz-Rodriguez et al. 2021
-70.63,-39.18,281.0,positive,Diaz-Rodriguez et al. 2021
-67.75,-29.0,4.0,positive,Diaz-Rodriguez et al. 2021
-65.87,-24.2,15.0,positive,Diaz-Rodriguez et al. 2021
-69.08,-32.42,14.0,positive,Diaz-Rodriguez et al. 2021
-69.1,-32.48,14.0,positive,Diaz-Rodriguez et al. 2021
-70.47,-37.43,45.0,positive,Diaz-Rodriguez et al. 2021
-69.97,-32.57,9.0,positive,Diaz-Rodriguez et al. 2021
-69.43,-32.25,260.0,positive,Diaz-Rodriguez et al. 2021
-67.78,-24.57,29.0,positive,Diaz-Rodriguez et al. 2021
-67.73,-24.58,31.0,positive,Diaz-Rodriguez et al. 2021
-69.44,-32.14,263.0,positive,Diaz-Rodriguez et al. 2021
-67.48,-16.92,23.0,positive,Diaz-Rodriguez et al. 2021
-66.6,-18.44,21.0,positive,Diaz-Rodriguez et al. 2021
-65.75,-19.63,12.0,positive,Diaz-Rodriguez et al. 2021
-66.45,-20.95,13.0,positive,Diaz-Rodriguez et al. 2021
